cd_ibge;municipio;gde_regiao;mes;casos_novos;pop;pop_60;obitos;area
3537008;Pedregulho;Interior;Abril;0;16279;2558;0;7126
3537107;Pedreira;Interior;Abril;0;46548;7069;0;10882
3537156;Pedrinhas Paulista;Interior;Abril;0;3010;581;0;15231
3537206;Pedro de Toledo;Interior;Abril;2;10977;1813;0;67044
3537305;Penápolis;Interior;Abril;1;60774;11490;1;71132
3537404;Pereira Barreto;Interior;Abril;0;25391;4495;0;97425
3537503;Pereiras;Interior;Abril;0;8428;1408;0;22314
3537602;Peruíbe;Interior;Abril;19;66201;11193;1;32622
3537701;Piacatu;Interior;Abril;0;5891;1010;0;23249
3537800;Piedade;Interior;Abril;8;53536;8755;0;74687
3537909;Pilar do Sul;Interior;Abril;4;28221;4259;0;68125
3538006;Pindamonhangaba;Interior;Abril;11;163611;23934;1;730
3538105;Pindorama;Interior;Abril;6;16255;2914;0;18483
3538204;Pinhalzinho;Interior;Abril;1;14755;2867;0;15453
3538303;Piquerobi;Interior;Abril;2;3535;686;0;48277
3538501;Piquete;Interior;Abril;0;13647;2694;0;176
3538600;Piracaia;Interior;Abril;4;26287;4407;1;38557
3538709;Piracicaba;Interior;Abril;84;389873;64835;9;137807
3538808;Piraju;Interior;Abril;10;28574;5424;0;50459
3538907;Pirajuí;Interior;Abril;0;23259;3878;0;82376
3539004;Pirangi;Interior;Abril;0;10823;2163;0;21581
3539103;Pirapora do Bom Jesus;RMSP (exceto capital);Abril;14;18851;1853;0;10849
3539202;Pirapozinho;Interior;Abril;0;27213;4312;0;47767
3539301;Pirassununga;Interior;Abril;11;73706;13461;0;72712
3539400;Piratininga;Interior;Abril;5;13213;2371;0;40241
3539509;Pitangueiras;Interior;Abril;1;38584;4770;1;43064
3539608;Planalto;Interior;Abril;0;5167;712;0;28983
3539707;Platina;Interior;Abril;0;3501;572;0;32748
3539806;Poá;RMSP (exceto capital);Abril;54;115538;15261;7;1726
